Date,Supplier,Country,Manufacturer,Region,Warehouse,Distribution_Center,Product,Quantity,Unit_Cost,Transport_Cost,Delivery_Time (days),Delay (days),Revenue,Mode_Of_Transport
2024-07-23,Supplier_B,India,Manu_X,Europe,WH_Tokyo,DC_Mumbai,Laptop,402,124,89,9,0,81204,Rail
2025-04-18,Supplier_A,China,Manu_X,Asia,WH_Chicago,DC_Rio,Laptop,1931,230,99,8,0,486612,Sea
2024-09-06,Supplier_D,Brazil,Manu_Y,America,WH_Delhi,DC_Rio,Tablet,340,264,51,3,1,113560,Rail
2025-05-27,Supplier_A,China,Manu_Y,America,WH_Chicago,DC_Paris,Tablet,1646,265,93,10,2,536596,Truck
2023-08-30,Supplier_B,Germany,Manu_Z,Asia,WH_Tokyo,DC_Paris,Tablet,265,116,78,4,0,37100,Air
2025-04-21,Supplier_A,Brazil,Manu_Y,Europe,WH_Tokyo,DC_Paris,Router,795,204,40,7,1,186825,Sea
2023-08-13,Supplier_B,Japan,Manu_X,Europe,WH_Berlin,DC_Paris,Phone,152,170,14,4,2,32832,Truck
2025-05-23,Supplier_D,China,Manu_Z,America,WH_Chicago,DC_Toronto,Router,636,58,66,10,0,80772,Air
2024-12-01,Supplier_B,China,Manu_Z,Europe,WH_Tokyo,DC_Rio,Phone,1371,119,51,8,0,268716,Air
2024-08-06,Supplier_A,Japan,Manu_Y,America,WH_Delhi,DC_Mumbai,Laptop,116,236,24,4,0,32596,Air
2024-06-05,Supplier_B,India,Manu_X,Asia,WH_Chicago,DC_Paris,Monitor,1258,101,62,10,0,251600,Rail
2025-02-20,Supplier_A,Germany,Manu_X,Europe,WH_Tokyo,DC_Rio,Router,1466,115,37,9,0,236026,Air
2024-04-25,Supplier_A,China,Manu_Y,America,WH_Tokyo,DC_Mumbai,Laptop,988,169,72,10,1,205504,Sea
2024-07-27,Supplier_C,China,Manu_X,America,WH_Chicago,DC_Rio,Monitor,1263,121,22,2,1,265230,Air
2023-10-08,Supplier_D,China,Manu_X,America,WH_Berlin,DC_Rio,Monitor,767,273,74,9,2,259246,Sea
2025-02-06,Supplier_D,China,Manu_Y,Europe,WH_Tokyo,DC_Seoul,Laptop,1991,56,73,3,0,224983,Truck
2024-03-12,Supplier_A,USA,Manu_Z,Europe,WH_SaoPaulo,DC_Seoul,Tablet,586,274,93,7,0,203928,Truck
2023-08-13,Supplier_A,India,Manu_X,Asia,WH_Delhi,DC_Toronto,Tablet,467,247,57,10,0,152242,Sea
2024-02-07,Supplier_A,China,Manu_Y,Europe,WH_Berlin,DC_Toronto,Phone,1493,144,54,8,1,332939,Sea
2025-03-10,Supplier_A,USA,Manu_X,America,WH_Tokyo,DC_Toronto,Phone,886,89,23,5,1,153278,Sea
2025-01-01,Supplier_C,USA,Manu_Y,Europe,WH_Berlin,DC_Toronto,Router,495,205,81,10,2,139590,Truck
2025-03-13,Supplier_C,Brazil,Manu_X,America,WH_Chicago,DC_Paris,Laptop,1965,95,59,10,0,265275,Truck
